date,baseline_nav,relief_breadth_blend_ge_m2_nav,relief_breadth_blend_ge_m1_nav,relief_breadth_blend_ge_0_nav,relief_above_ma20_ge_55_nav,relief_above_ma20_ge_60_nav,relief_above_ma20_ge_65_nav,relief_combo_m1_or_ma60_nav,hs300_benchmark
2012-07-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9362519201228873
2012-07-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.938172043010752
2012-07-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.938172043010752
2012-07-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9412442396313355
2012-07-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.934331797235022
2012-07-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9228110599078332
2012-07-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9247311827956979
2012-07-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9189708141321034
2012-07-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9147465437788008
2012-07-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9158986175115197
2012-07-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9128264208909359
2012-07-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9105222734254982
2012-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9174347158218115
2012-08-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9105222734254982
2012-08-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9158986175115196
2012-08-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9278033794162818
2012-08-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9289554531490006
2012-08-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9297235023041465
2012-08-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9389400921658977
2012-08-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.936251920122887
2012-08-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9185867895545305
2012-08-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9170506912442387
2012-08-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9086021505376335
2012-08-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9059139784946227
2012-08-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9020737327188931
2012-08-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8970814132104444
2012-08-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9005376344086012
2012-08-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8940092165898608
2012-08-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8982334869431634
2012-08-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8894009216589852
2012-08-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354829
2012-08-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8709677419354829
2012-08-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8652073732718885
2012-08-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8613671274961587
2012-08-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8613671274961587
2012-09-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8667434715821803
2012-09-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857526881720429
2012-09-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428563
2012-09-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8655913978494612
2012-09-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9051459293394766
2012-09-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9082181259600604
2012-09-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9013056835637469
2012-09-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9059139784946224
2012-09-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8970814132104441
2012-09-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516115
2012-09-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8821044546850986
2012-09-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8713517665130556
2012-09-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8748079877112122
2012-09-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8559907834101369
2012-09-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855606758832564
2012-09-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8632872503840232
2012-09-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8621351766513042
2012-09-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8529185867895531
2012-09-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8774961597542228
2012-09-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8978494623655899
2012-10-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8844086021505362
2012-10-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9047619047619032
2012-10-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9047619047619032
2012-10-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8986175115207359
2012-10-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89784946236559
2012-10-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8947772657450062
2012-10-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8951612903225793
2012-10-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.898617511520736
2012-10-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9097542242703521
2012-10-19,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9097542242703521
2012-10-22,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9132104454685087
2012-10-23,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9028417818740386
2012-10-24,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9013056835637467
2012-10-25,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8940092165898603
2012-10-26,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.874039938556066
2012-10-29,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8698156682027637
2012-10-30,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8717357910906285
2012-10-31,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.877880184331796
2012-11-01,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8963133640552984
2012-11-02,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8982334869431632
2012-11-05,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8959293394777255
2012-11-06,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8924731182795687
2012-11-07,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8917050691244228
2012-11-08,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8755760368663582
2012-11-09,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8732718894009205
2012-11-12,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8763440860215043
2012-11-13,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8629032258064506
2012-11-14,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8652073732718882
2012-11-15,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8548387096774182
2012-11-16,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8467741935483859
2012-11-19,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8467741935483859
2012-11-20,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8444700460829482
2012-11-21,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8548387096774182
2012-11-22,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8498463901689699
2012-11-23,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8544546850998456
2012-11-26,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8490783410138241
2012-11-27,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8398617511520728
2012-11-28,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8306451612903217
2012-11-29,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.827572964669738
2012-11-30,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8314132104454677
2012-12-03,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8237327188940085
2012-12-04,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8302611367127488
2012-12-05,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8594470046082944
2012-12-06,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8582949308755755
2012-12-07,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8755760368663588
2012-12-10,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8836405529953911
2012-12-11,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8809523809523804
2012-12-12,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8828725038402454
2012-12-13,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8759600614439321
2012-12-14,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9201228878648231
2012-12-17,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,0.922811059907834
2012-12-18,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.9086021505376343
2012-12-19,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9109062980030718
2012-12-20,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9170506912442393
2012-12-21,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9132104454685098
2012-12-24,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9139784946236558
2012-12-25,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,1.019337576875731,0.9393241167434717
2012-12-26,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,1.022254732655833,0.9420122887864824
2012-12-27,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,1.0201710499557601,0.9400921658986177
2012-12-28,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,1.035173565396286,0.9539170506912443
2012-12-31,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,1.0518430269968704,0.969278033794163
2013-01-04,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,1.0543434462369579,0.9715821812596007
2013-01-07,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,1.0560103923970163,0.9731182795698926
2013-01-08,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,1.0514262904568559,0.9688940092165901
2013-01-09,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,1.0505928173768266,0.9681259600614442
2013-01-10,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,1.0530932366169143,0.9704301075268821
2013-01-11,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,1.0372572480963593,0.9558371735791096
2013-01-14,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,1.0739300636176448,0.9896313364055304
2013-01-15,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,1.080181111717864,0.9953917050691249
2013-01-16,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,1.0722631174575863,0.9880952380952385
2013-01-17,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,1.0655953328173526,0.981950844854071
2013-01-18,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,1.081431321337908,0.996543778801844
2013-01-21,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0851819501980393,1.0000000000000004
2013-01-22,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,0.9984639016897086
2013-01-23,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0855986867380538,1.0003840245775735
2013-01-24,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,1.0785141655578054,0.9938556067588331
2013-01-25,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,1.07351332707763,0.9892473118279576
2013-01-28,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.1026848848786526,1.0161290322580652
2013-01-29,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.1110196156789447,1.0238095238095244
2013-01-30,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.1172706637791638,1.029569892473119
2013-01-31,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.1201878195592663,1.03225806451613
2013-02-01,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.141858119640026,1.052227342549924
2013-02-04,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.143941802340099,1.0541474654377887
2013-02-05,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.152276533140391,1.061827956989248
2013-02-06,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.155610425460508,1.0649001536098317
2013-02-07,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.150192850440318,1.059907834101383
2013-02-08,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.1539434793004495,1.0633640552995398
2013-02-18,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.1368572811598505,1.0476190476190483
2013-02-19,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.1185208733992078,1.030721966205838
2013-02-20,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.1235217118793832,1.0353302611367137
2013-02-21,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,1.0835150040379808,0.998463901689709
2013-02-22,1.0822196986901638,1.0822196986901638,1.0822196986901638,1.0822196986901638,1.0822196986901638,1.0822196986901638,1.0822196986901638,1.0822196986901638,0.9953917050691252
2013-02-25,1.082670623564618,1.082670623564618,1.082670623564618,1.082670623564618,1.082670623564618,1.082670623564618,1.082670623564618,1.082670623564618,0.996927803379417
2013-02-26,1.078391655691824,1.078391655691824,1.078391655691824,1.078391655691824,1.078391655691824,1.078391655691824,1.078391655691824,1.078391655691824,0.9823348694316442
2013-02-27,1.0782460728183056,1.0782460728183056,1.0782460728183056,1.0782460728183056,1.0782460728183056,1.0782460728183056,1.0782460728183056,1.0782460728183056,0.9915514592933954
2013-02-28,1.0879086354584553,1.0879086354584553,1.0879086354584553,1.0879086354584553,1.0879086354584553,1.0879086354584553,1.0879086354584553,1.0879086354584553,1.0249615975422437
2013-03-01,1.0875784721033706,1.0875784721033706,1.0875784721033706,1.0875784721033706,1.0875784721033706,1.0875784721033706,1.0875784721033706,1.0875784721033706,1.0238095238095248
2013-03-04,1.0737002201825316,1.0737002201825316,1.0737002201825316,1.0737002201825316,1.0737002201825316,1.0737002201825316,1.0737002201825316,1.0737002201825316,0.9754224270353312
2013-03-05,1.0820319648044991,1.0820319648044991,1.0820319648044991,1.0820319648044991,1.0820319648044991,1.0820319648044991,1.0820319648044991,1.0820319648044991,1.0034562211981577
2013-03-06,1.0851625280092148,1.0851625280092148,1.0851625280092148,1.0851625280092148,1.0851625280092148,1.0851625280092148,1.0851625280092148,1.0851625280092148,1.0142089093702007
2013-03-07,1.081612431741892,1.081612431741892,1.081612431741892,1.081612431741892,1.081612431741892,1.081612431741892,1.081612431741892,1.081612431741892,1.0019201228878658
2013-03-08,1.0811646964309372,1.0811646964309372,1.0811646964309372,1.0811646964309372,1.0811646964309372,1.0811646964309372,1.0811646964309372,1.0811646964309372,1.000384024577574
2013-03-11,1.079147629089419,1.079147629089419,1.079147629089419,1.079147629089419,1.079147629089419,1.079147629089419,1.079147629089419,1.079147629089419,0.9934715821812606
2013-03-12,1.0749803755855136,1.0749803755855136,1.0749803755855136,1.0749803755855136,1.0749803755855136,1.0749803755855136,1.0749803755855136,1.0749803755855136,0.9792626728110608
2013-03-13,1.0717933749426012,1.0717933749426012,1.0717933749426012,1.0717933749426012,1.0717933749426012,1.0717933749426012,1.0717933749426012,1.0717933749426012,0.9685099846390176
2013-03-14,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,0.9704301075268826
2013-03-15,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,0.9711981566820285
2013-03-18,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,0.9608294930875583
2013-03-19,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,0.9692780337941638
2013-03-20,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,1.071648682836984,0.9988479262672821
2013-03-21,1.0722826117947513,1.0722826117947513,1.0722826117947513,1.0722826117947513,1.0722826117947513,1.0722826117947513,1.0722826117947513,1.0722826117947513,1.001536098310293
2013-03-22,1.0730596877672558,1.0730596877672558,1.0730596877672558,1.0730596877672558,1.0730596877672558,1.0730596877672558,1.0730596877672558,1.0730596877672558,1.0042242703533037
2013-03-25,1.0726165120644686,1.0726165120644686,1.0726165120644686,1.0726165120644686,1.0726165120644686,1.0726165120644686,1.0726165120644686,1.0726165120644686,1.0026881720430119
2013-03-26,1.0678470453064952,1.0678470453064952,1.0678470453064952,1.0678470453064952,1.0678470453064952,1.0678470453064952,1.0678470453064952,1.0678470453064952,0.9861751152073743
