date,hs300_benchmark,base_pool,plus_soymeal
2023-04-04,1.0,7.070958521881907,1.0
2023-04-06,0.9970731707317075,6.938886020754803,1.0
2023-04-07,1.004146341463415,6.999842559736542,1.0
2023-04-10,1.0004878048780492,6.969364290245672,1.0
2023-04-11,0.9980487804878049,6.999842559736542,1.0
2023-04-12,0.9970731707317075,6.9529415827016745,1.0
2023-04-13,0.9909756097560978,6.959348347578617,1.0
2023-04-14,0.9960975609756101,6.978683037826737,1.0
2023-04-17,1.0109756097560978,7.0092020598580485,1.0
2023-04-18,1.0126829268292685,6.9990290525142775,1.0
2023-04-19,1.0046341463414634,6.988856045170508,1.0
2023-04-20,1.0007317073170732,6.988856045170508,1.0
2023-04-21,0.9829268292682927,6.9513786861160565,1.0
2023-04-24,0.9704878048780489,6.945122445298552,1.0
2023-04-25,0.9658536585365854,6.974685367149901,1.0
2023-04-26,0.9636585365853658,6.96193193456638,1.0
2023-04-27,0.9721951219512198,6.973807298207431,1.0
2023-04-28,0.9817073170731712,7.092510401155643,1.0
2023-05-04,0.9817073170731712,7.257375214387972,1.0
2023-05-05,0.977804878048781,7.244227843504607,1.0
2023-05-08,0.9887804878048787,7.403247479093733,1.0
2023-05-09,0.9802439024390248,7.327091421939851,1.0
2023-05-10,0.9726829268292688,7.180255922502179,1.0
2023-05-11,0.9714634146341469,7.221581136444638,1.0
2023-05-12,0.9590243902439028,7.114954048827413,1.0
2023-05-15,0.9743902439024398,7.102169485524416,1.0
2023-05-16,0.9702439024390251,7.024745766233869,0.9895935766423358
2023-05-17,0.9636585365853664,7.10650198374599,1.0002097806073358
2023-05-18,0.9634146341463421,7.232280779918486,1.0179126085826868
2023-05-19,0.9619512195121956,7.25114759934436,1.0205680327789897
2023-05-22,0.9668292682926835,7.301459117813358,1.02764916396913
2023-05-23,0.9529268292682931,7.182148181787042,1.011716618791314
2023-05-24,0.9400000000000005,7.107246766611028,0.9958614389897487
2023-05-25,0.9378048780487809,7.213181339013088,1.0107049021725225
2023-05-26,0.9390243902439027,7.242072586031833,1.014753119404188
2023-05-29,0.9351219512195126,7.502093809200529,1.051187074489179
2023-05-30,0.9360975609756103,7.5117242248734435,1.0525364802330675
2023-05-31,0.9273170731707323,7.4828329778547,1.0484882630014019
2023-06-01,0.9292682926829274,7.473202562181786,1.0471388572575135
2023-06-02,0.9421951219512199,7.569506718910932,1.060632914696399
2023-06-05,0.9378048780487808,7.60802838160259,1.0660305376719532
2023-06-06,0.9287804878048783,7.617658797275505,1.0673799434158417
2023-06-07,0.9258536585365856,7.646550044294249,1.0714281606475073
2023-06-08,0.933658536585366,7.473202562181784,1.0471388572575133
2023-06-09,0.9375609756097564,7.598397965929674,1.0646811319280645
2023-06-12,0.9385365853658538,7.685071706985906,1.0768257836230615
2023-06-13,0.9456097560975614,7.8584191890983695,1.1011150870130553
2023-06-14,0.9456097560975614,7.868049604771284,1.1024644927569438
2023-06-15,0.961463414634147,7.916201683135858,1.1092115214763867
2023-06-16,0.9704878048780494,7.993245008519176,1.1200067674274952
2023-06-19,0.9631707317073177,7.9547233458275155,1.1146091444519408
2023-06-20,0.9614634146341471,7.945092930154601,1.1132597387080523
2023-06-21,0.9480487804878056,7.973984177173345,1.1173079559397179
2023-06-26,0.9373170731707324,7.916201683135857,1.1092115214763867
2023-06-27,0.9436585365853665,7.810267110733797,1.0943680582936128
2023-06-28,0.9456097560975614,7.916201683135857,1.0892458397976101
2023-06-29,0.9412195121951222,7.973984177173346,1.0960993428188186
2023-06-30,0.9468292682926832,7.973984177173346,1.0960993428188186
2023-07-03,0.9578048780487807,8.118440412267066,1.1159562149713336
2023-07-04,0.9595121951219513,8.060657918229577,1.0941950687793924
2023-07-05,0.9529268292682928,8.070288333902491,1.0969115411447834
2023-07-06,0.9460975609756098,8.079918749575405,1.095824952198627
2023-07-07,0.9434146341463416,8.041397086883746,1.0898487129947672
2023-07-10,0.9473170731707319,7.973984177173343,1.0909353019409236
2023-07-11,0.9536585365853661,8.012505839865002,1.0958249521986267
2023-07-12,0.9490243902439026,8.022136255537916,1.1137536698102057
2023-07-13,0.9643902439024393,8.156962074958718,1.1056042527140335
2023-07-14,0.9639024390243907,8.185853321977463,1.1061475471871116
2023-07-17,0.9570731707317078,8.22437498466912,1.1170134366486748
2023-07-18,0.9556097560975616,8.311048725725351,1.1186433200679093
2023-07-19,0.9551219512195126,8.436244129473243,1.1441781603025822
2023-07-20,0.9482926829268296,8.330309557071182,1.1523275773987545
2023-07-21,0.9487804878048786,8.18810780228649,1.142548276883348
2023-07-24,0.9446341463414639,8.200567119912414,1.1447214547756606
2023-07-25,0.9719512195121957,8.32199934304543,1.1659099392257082
2023-07-26,0.9697560975609761,8.36853428811372,1.1740593563218806
2023-07-27,0.9687804878048786,8.44598485996114,1.1876417181488343
