date,nav,drawdown,signal,holding,exposure,current_momentum,effective_momentum,absolute_momentum_threshold
2012-05-28,1.0,0.0,,,0.0,,,0.06
2012-05-29,1.0,0.0,,,0.0,,,0.06
2012-05-30,1.0,0.0,,,0.0,,,0.055
2012-05-31,1.0,0.0,,,0.0,,,0.055
2012-06-01,1.0,0.0,,,0.0,,,0.055
2012-06-04,1.0,0.0,,,0.0,,,0.055
2012-06-05,1.0,0.0,,,0.0,,,0.06
2012-06-06,1.0,0.0,,,0.0,,,0.06
2012-06-07,1.0,0.0,,,0.0,,,0.06
2012-06-08,1.0,0.0,,,0.0,,,0.06
2012-06-11,1.0,0.0,,,0.0,,,0.06
2012-06-12,1.0,0.0,,,0.0,,,0.06
2012-06-13,1.0,0.0,,,0.0,,,0.06
2012-06-14,1.0,0.0,,,0.0,,,0.06
2012-06-15,1.0,0.0,,,0.0,,,0.06
2012-06-18,1.0,0.0,,,0.0,,,0.06
2012-06-19,1.0,0.0,,,0.0,,,0.06
2012-06-20,1.0,0.0,,,0.0,,,0.06
2012-06-21,1.0,0.0,,,0.0,,,0.06
2012-06-25,1.0,0.0,,,0.0,,,0.06
2012-06-26,1.0,0.0,,,0.0,,,0.06
2012-06-27,1.0,0.0,,,0.0,,,0.06
2012-06-28,1.0,0.0,,,0.0,,,0.06
2012-06-29,1.0,0.0,,,0.0,,,0.06
2012-07-02,1.0,0.0,,,0.0,,,0.06
2012-07-03,1.0,0.0,,,0.0,,,0.06
2012-07-04,1.0,0.0,,,0.0,,,0.06
2012-07-05,1.0,0.0,,,0.0,,,0.06
2012-07-06,1.0,0.0,,,0.0,,,0.06
2012-07-09,1.0,0.0,,,0.0,,,0.06
2012-07-10,1.0,0.0,,,0.0,,,0.06
2012-07-11,1.0,0.0,,,0.0,,,0.06
2012-07-12,1.0,0.0,,,0.0,,,0.06
2012-07-13,1.0,0.0,,,0.0,,,0.06
2012-07-16,1.0,0.0,,,0.0,,,0.06
2012-07-17,1.0,0.0,,,0.0,,,0.06
2012-07-18,1.0,0.0,,,0.0,,,0.06
2012-07-19,1.0,0.0,,,0.0,,,0.06
2012-07-20,1.0,0.0,,,0.0,,,0.06
2012-07-23,1.0,0.0,,,0.0,,,0.06
2012-07-24,1.0,0.0,,,0.0,,,0.06
2012-07-25,1.0,0.0,,,0.0,,,0.06
2012-07-26,1.0,0.0,,,0.0,,,0.06
2012-07-27,1.0,0.0,,,0.0,,,0.06
2012-07-30,1.0,0.0,,,0.0,,,0.06
2012-07-31,1.0,0.0,,,0.0,,,0.06
2012-08-01,1.0,0.0,,,0.0,,,0.06
2012-08-02,1.0,0.0,,,0.0,,,0.06
2012-08-03,1.0,0.0,,,0.0,,,0.06
