base_pool,plus_510500_risk,plus_588000_risk,plus_510050_risk,plus_511380_defensive,plus_513660_defensive,plus_513300_defensive
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9806780234774409,1.0,1.0,1.0
1.0,1.0,1.0,0.9801876844657023,1.0,1.0,1.0
0.9995,0.9995,0.9995,0.9932095015298602,0.9995,0.9995,0.9995
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9921212919538397,0.9990002500000001,0.9990002500000001,0.9990002500000001
0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9916252313078628,0.9990002500000001,0.9990002500000001,0.9990002500000001
