date,hs300_benchmark,base_pool,plus_energy,plus_resources,plus_hk_div_lowvol,plus_global_dividend,plus_energy_hk_div
2023-04-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-06,0.9968586387434556,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-07,1.004450261780105,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-10,1.0005235602094245,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-11,0.9979057591623038,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-12,0.9968586387434558,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-13,0.9903141361256547,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-14,0.9958115183246076,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-17,1.011780104712042,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-18,1.0136125654450263,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-19,1.0049738219895288,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-20,1.0007853403141362,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-21,0.9816753926701574,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-24,0.9683246073298432,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-25,0.9633507853403143,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-26,0.960994764397906,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-27,0.9701570680628275,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-28,0.9803664921465971,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-04,0.9803664921465971,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-05,0.9761780104712043,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-08,0.9879581151832463,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-09,0.9787958115183247,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-10,0.9706806282722515,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-11,0.9693717277486914,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-12,0.9560209424083772,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-15,0.9725130890052359,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-16,0.9680628272251314,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358
2023-05-17,0.9609947643979062,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358
2023-05-18,0.9607329842931941,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868
2023-05-19,0.9591623036649218,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897
2023-05-22,0.9643979057591627,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913
2023-05-23,0.9494764397905763,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314
2023-05-24,0.9356020942408381,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487
2023-05-25,0.9332460732984298,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225
2023-05-26,0.93455497382199,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188
2023-05-29,0.9303664921465974,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179
2023-05-30,0.9314136125654455,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675
2023-05-31,0.9219895287958121,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019
2023-06-01,0.9240837696335085,1.0471388572575133,1.0471388572575133,1.0471388572575133,1.0471388572575133,1.0471388572575133,1.0471388572575133
2023-06-02,0.9379581151832467,1.0606329146963989,1.0606329146963989,1.0606329146963989,1.0606329146963989,1.0606329146963989,1.0606329146963989
2023-06-05,0.93324607329843,1.066030537671953,1.066030537671953,1.066030537671953,1.066030537671953,1.066030537671953,1.066030537671953
2023-06-06,0.9235602094240842,1.0673799434158415,1.0673799434158415,1.0673799434158415,1.0673799434158415,1.0673799434158415,1.0673799434158415
2023-06-07,0.9204188481675398,1.0714281606475071,1.0714281606475071,1.0714281606475071,1.0714281606475071,1.0714281606475071,1.0714281606475071
2023-06-08,0.9287958115183251,1.047138857257513,1.047138857257513,1.047138857257513,1.047138857257513,1.047138857257513,1.047138857257513
2023-06-09,0.9329842931937178,1.0646811319280642,1.0646811319280642,1.0646811319280642,1.0646811319280642,1.0646811319280642,1.0646811319280642
